Credenciamentos CATI por Estado/Região - Ano 2020;;;;;;Credenciamentos CATI por Estado/Região - Ano 2021;;;;;;Distribuição dos Investimento em Projetos por Região - Ano 2017;;;;;Quantidade de Projetos Realizados por Região - Ano 2017;;;;;Distribuição dos Investimento em Projetos por Região - Ano 2017;;;;;Distribuição dos Investimento em Projetos na PB - Ano 2017;;
REGIÃO;ESTADO;Instituição de Ensino, Pesquisa e Desenvolvimento;Centro ou Instituto de Pesquisa;Incubadora;;REGIÃO;ESTADO;Instituição de Ensino, Pesquisa e Desenvolvimento;Centro ou Instituto de Pesquisa;Incubadora;;REGIÃO;Instituição de Ensino, Pesquisa e Desenvolvimento;Centro ou Instituto de Pesquisa;Incubadora;;ESTADO;Instituição de Ensino, Pesquisa e Desenvolvimento;Centro ou Instituto de Pesquisa;Incubadora;;ESTADO;Instituição de Ensino, Pesquisa e Desenvolvimento;Centro ou Instituto de Pesquisa;Incubadora;;Instituição de Ensino, Pesquisa e Desenvolvimento;Valor Investido;Quantidade de Projetos
NORDESTE;PE;12;5;2;;NORDESTE;PE;9;5;0;;;;;;;;;;;;;;;;;;;
NORDESTE;PI;2;0;0;;NORDESTE;PI;0;0;0;;;;;;;;;;;;;;;;;;;
NORDESTE;RN;6;0;2;;NORDESTE;RN;2;0;0;;;;;;;;;;;;;;;;;;;
NORDESTE;SE;2;0;0;;NORDESTE;SE;0;0;0;;;;;;;;;;;;;;;;;;;
SUL;PR;9;8;3;;SUL;PR;4;5;2;;;;;;;;;;;;;;;;;;;
SUL;RS;34;5;7;;SUL;RS;11;2;3;;;;;;;;;;;;;;;;;;;
SUL;SC;27;5;3;;SUL;SC;6;3;3;;;;;;;;;;;;;;;;;;;
SUDESTE;ES;2;0;1;;SUDESTE;ES;0;0;0;;;;;;;;;;;;;;;;;;;
SUDESTE;MG;22;3;5;;SUDESTE;MG;8;4;4;;;;;;;;;;;;;;;;;;;
SUDESTE;RJ;11;6;3;;SUDESTE;RJ;5;1;1;;;;;;;;;;;;;;;;;;;
SUDESTE;SP;76;31;9;;SUDESTE;SP;26;23;5;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;DF;7;9;2;;CENTRO-OESTE;DF;3;7;1;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GO;4;0;3;;CENTRO-OESTE;GO;1;0;2;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MS;2;0;1;;CENTRO-OESTE;MS;0;0;0;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MT;2;0;0;;CENTRO-OESTE;MT;0;0;0;;;;;;;;;;;;;;;;;;;
TOTAL;;271;88;45;;TOTAL;;102;61;24;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Evolução dos Credenciamentos por ano na Paraíba;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Instituição de Ensino, Pesquisa e Desenvolvimento;2018;2019;2020;2021;;;;;;;;;;;;;;;;;;;;;;;
;;IFPB;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;
;;SENAI-PB;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;
;;UEPB;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;
;;UFCG;2;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
;;UFPB;2;2;2;0;;;;;;;;;;;;;;;;;;;;;;;
;;UNIPÊ;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;
;;TOTAL;9;11;11;6;;;;;;;;;;;;;;;;;;;;;;;
